127.0.0.1 - - [25/Mar/2019:19:03:19 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:03:25 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:03:25 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:03:25 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:03:25 +0900] "GET /UserChat/css/MyCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:03:25 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:03:32 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:03:32 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:11:34 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:11:34 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:12:10 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:12:10 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:12:31 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:12:31 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:14:48 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:14:48 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:14:52 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:14:52 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:15:02 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 4212
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:15:02 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:15:10 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 4212
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:15:17 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:15:17 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:15:42 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:15:42 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:15:52 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:15:52 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:16:00 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:16:00 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:16:56 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:16:56 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:17:14 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [25/Mar/2019:19:17:14 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 200 780
