127.0.0.1 - - [26/Apr/2019:13:03:28 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:03:45 +0900] "GET /UserChat/join.jsp HTTP/1.1" 200 6909
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:03:45 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:03:45 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:03:45 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:03:45 +0900] "GET /UserChat/css/MyCss.css HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:03:48 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:03:50 +0900] "GET /UserChat/main.jsp HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:03:56 +0900] "GET /UserChat/login.jsp HTTP/1.1" 200 3627
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:04:48 +0900] "POST /UserChat/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:04:49 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:04:49 +0900] "GET /UserChat/css/custom.css?ver=1 HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:08:19 +0900] "GET /UserChat/chat.jsp?toID=11111 HTTP/1.1" 200 6418
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:08:23 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:08:23 +0900] "GET /UserChat/images/icon.png HTTP/1.1" 200 19288
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:08:26 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:08:29 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:08:32 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:08:35 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:08:38 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:08:42 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:08:45 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:08:48 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:08:51 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:08:54 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:08:57 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:09:00 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:09:03 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:09:06 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:09:09 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:09:12 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:09:15 +0900] "POST /UserChat/chatListServlet HTTP/1.1" 200 -
