127.0.0.1 - - [29/May/2019:17:13:52 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/May/2019:17:15:26 +0900] "GET /UserChat/chat.jsp?toID=11111 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2019:17:15:26 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 3268
0:0:0:0:0:0:0:1 - - [29/May/2019:17:15:26 +0900] "GET /UserChat/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:17:15:26 +0900] "GET /UserChat/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:17:15:26 +0900] "GET /UserChat/css/custom2.css HTTP/1.1" 200 2529
0:0:0:0:0:0:0:1 - - [29/May/2019:17:15:26 +0900] "GET /UserChat/css/custom.css HTTP/1.1" 200 3993
0:0:0:0:0:0:0:1 - - [29/May/2019:17:15:27 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/May/2019:17:15:29 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2405
0:0:0:0:0:0:0:1 - - [29/May/2019:17:21:19 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2405
0:0:0:0:0:0:0:1 - - [29/May/2019:17:21:48 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2417
0:0:0:0:0:0:0:1 - - [29/May/2019:17:21:48 +0900] "GET /UserChat/css/custom.css?ver=1 HTTP/1.1" 200 3993
0:0:0:0:0:0:0:1 - - [29/May/2019:17:21:48 +0900] "GET /UserChat/css/custom2.css?ver=1 HTTP/1.1" 200 2529
0:0:0:0:0:0:0:1 - - [29/May/2019:17:22:25 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2417
0:0:0:0:0:0:0:1 - - [29/May/2019:17:22:25 +0900] "GET /UserChat/css/custom2.css?ver=1 HTTP/1.1" 200 2529
0:0:0:0:0:0:0:1 - - [29/May/2019:17:23:49 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2417
0:0:0:0:0:0:0:1 - - [29/May/2019:17:23:49 +0900] "GET /UserChat/css/custom2.css?ver=1 HTTP/1.1" 200 2529
0:0:0:0:0:0:0:1 - - [29/May/2019:17:24:08 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2417
0:0:0:0:0:0:0:1 - - [29/May/2019:17:24:08 +0900] "GET /UserChat/css/custom2.css?ver=1 HTTP/1.1" 200 2529
0:0:0:0:0:0:0:1 - - [29/May/2019:17:24:31 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2417
0:0:0:0:0:0:0:1 - - [29/May/2019:17:24:31 +0900] "GET /UserChat/css/custom2.css?ver=1 HTTP/1.1" 200 2529
0:0:0:0:0:0:0:1 - - [29/May/2019:17:24:41 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2417
0:0:0:0:0:0:0:1 - - [29/May/2019:17:24:41 +0900] "GET /UserChat/css/custom2.css?ver=1 HTTP/1.1" 200 2529
0:0:0:0:0:0:0:1 - - [29/May/2019:17:25:46 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2417
0:0:0:0:0:0:0:1 - - [29/May/2019:17:25:46 +0900] "GET /UserChat/css/custom2.css?ver=1 HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [29/May/2019:17:26:05 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2417
0:0:0:0:0:0:0:1 - - [29/May/2019:17:26:05 +0900] "GET /UserChat/css/custom2.css?ver=1 HTTP/1.1" 200 2529
0:0:0:0:0:0:0:1 - - [29/May/2019:17:28:07 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2417
0:0:0:0:0:0:0:1 - - [29/May/2019:17:28:07 +0900] "GET /UserChat/css/custom2.css?ver=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:17:29:17 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2417
0:0:0:0:0:0:0:1 - - [29/May/2019:17:29:17 +0900] "GET /UserChat/css/custom2.css?ver=1 HTTP/1.1" 200 2529
0:0:0:0:0:0:0:1 - - [29/May/2019:17:33:35 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2417
0:0:0:0:0:0:0:1 - - [29/May/2019:17:33:35 +0900] "GET /UserChat/css/custom2.css?ver=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2019:17:33:37 +0900] "GET /UserChat/find.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2019:17:33:37 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 3279
0:0:0:0:0:0:0:1 - - [29/May/2019:17:34:21 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2417
0:0:0:0:0:0:0:1 - - [29/May/2019:17:34:21 +0900] "GET /UserChat/css/custom2.css?ver=1 HTTP/1.1" 200 2529
0:0:0:0:0:0:0:1 - - [29/May/2019:17:34:32 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2417
0:0:0:0:0:0:0:1 - - [29/May/2019:17:34:32 +0900] "GET /UserChat/css/custom2.css?ver=1 HTTP/1.1" 200 2529
0:0:0:0:0:0:0:1 - - [29/May/2019:17:35:00 +0900] "GET /UserChat/index.jsp HTTP/1.1" 200 2417
0:0:0:0:0:0:0:1 - - [29/May/2019:17:35:00 +0900] "GET /UserChat/css/custom2.css?ver=1 HTTP/1.1" 200 2529
